"pvalues","Fission"
0.0066821074248616,"Marginal thinning"
0.0711312205687401,"Conditional thinning"
0.00226523620316502,"Marginal thinning"
0.814924456767755,"Conditional thinning"
0.0364898053559727,"Marginal thinning"
0.508640735029887,"Conditional thinning"
0.00967307438731234,"Marginal thinning"
0.137580607842311,"Conditional thinning"
0.00190110368078935,"Marginal thinning"
0.194599621131689,"Conditional thinning"
1.87130686373529e-06,"Marginal thinning"
0.0634469844711018,"Conditional thinning"
0.00127756460269835,"Marginal thinning"
0.778513765832537,"Conditional thinning"
0.00024053759725135,"Marginal thinning"
0.527251788745538,"Conditional thinning"
0.0395995733649685,"Marginal thinning"
0.558748327855045,"Conditional thinning"
0.0135801530851387,"Marginal thinning"
0.976691673623495,"Conditional thinning"
0.00486779228354919,"Marginal thinning"
0.84487865266079,"Conditional thinning"
0.0309968288339575,"Marginal thinning"
0.0524664970999746,"Conditional thinning"
0.00504808048545784,"Marginal thinning"
0.217070576889965,"Conditional thinning"
0.0680918626889021,"Marginal thinning"
0.891748913782537,"Conditional thinning"
0.000611095857402607,"Marginal thinning"
0.215074261534548,"Conditional thinning"
0.00693993189230596,"Marginal thinning"
0.173243713887177,"Conditional thinning"
0.0720116470735489,"Marginal thinning"
0.711768428708226,"Conditional thinning"
2.30207665224485e-06,"Marginal thinning"
0.859422820010992,"Conditional thinning"
0.000208286270656818,"Marginal thinning"
0.151335337103907,"Conditional thinning"
0.000117820161801837,"Marginal thinning"
0.509367817395273,"Conditional thinning"
2.71987405564276e-06,"Marginal thinning"
0.447196580464524,"Conditional thinning"
0.00615914112614615,"Marginal thinning"
0.578365109060658,"Conditional thinning"
0.0468189580543107,"Marginal thinning"
0.703747471147035,"Conditional thinning"
0.0126927300206113,"Marginal thinning"
0.069189644125927,"Conditional thinning"
0.00130375493813496,"Marginal thinning"
0.513052079509444,"Conditional thinning"
0.00681261964509936,"Marginal thinning"
0.619166262263658,"Conditional thinning"
0.00344206002555828,"Marginal thinning"
0.102936151544197,"Conditional thinning"
0.00207834726811169,"Marginal thinning"
0.622067345222757,"Conditional thinning"
0.00748675396472027,"Marginal thinning"
0.934650123622957,"Conditional thinning"
0.00166846104385737,"Marginal thinning"
0.175126488407674,"Conditional thinning"
0.0126381058740977,"Marginal thinning"
0.775424070718975,"Conditional thinning"
0.000752692449400513,"Marginal thinning"
0.60951258090121,"Conditional thinning"
0.00222466765915482,"Marginal thinning"
0.465993844852486,"Conditional thinning"
0.00341325958571221,"Marginal thinning"
0.284190974911668,"Conditional thinning"
0.000165496341962899,"Marginal thinning"
0.234144986294306,"Conditional thinning"
0.0010076628538108,"Marginal thinning"
0.44094103577483,"Conditional thinning"
0.00433476459654526,"Marginal thinning"
0.558530468514573,"Conditional thinning"
0.00429898461964104,"Marginal thinning"
0.0116984340016555,"Conditional thinning"
0.00714322638135157,"Marginal thinning"
0.178444781813625,"Conditional thinning"
0.0196836407427893,"Marginal thinning"
0.132122882940282,"Conditional thinning"
0.001558944412444,"Marginal thinning"
0.412178142527401,"Conditional thinning"
0.0030721667434967,"Marginal thinning"
0.784975380140307,"Conditional thinning"
0.816133498571903,"Marginal thinning"
0.750896395177913,"Conditional thinning"
0.00401111255942472,"Marginal thinning"
1,"Conditional thinning"
0.0470172395992259,"Marginal thinning"
0.681400534954465,"Conditional thinning"
